D:\anaconda3\python.exe E:/zhangxirui/RAFT/train.py 
Namespace(name='raft-sintel', stage='sintel', restore_ckpt='checkpoints/raft-name.pth', small=False, validation=['sintel'], lr=0.0001, num_steps=120000, batch_size=8, image_size=[368, 768], gpus=[0], mixed_precision=True, iters=12, wdecay=1e-05, epsilon=1e-08, clip=1.0, dropout=0.0, gamma=0.85, add_noise=False)
Parameter Count: 10584674
Training with 208200 image pairs
D:\anaconda3\lib\site-packages\torch\functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ..\aten\src\ATen\native\TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
D:\anaconda3\lib\site-packages\torch\optim\lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
[  3100,  0.0000536]     0.8525,     0.9270,     0.9465,     2.6573, 
[  3200,  0.0000551]     0.8450,     0.9208,     0.9399,     2.4994, 
[  3300,  0.0000567]     0.8543,     0.9276,     0.9457,     2.4078, 
[  3400,  0.0000583]     0.8532,     0.9257,     0.9457,     2.2262, 
[  3500,  0.0000599]     0.8639,     0.9312,     0.9476,     2.4042, 
[  3600,  0.0000615]     0.8487,     0.9241,     0.9436,     2.5049, 
[  3700,  0.0000631]     0.8577,     0.9285,     0.9474,     2.2013, 
[  3800,  0.0000647]     0.8408,     0.9206,     0.9404,     2.8095, 
[  3900,  0.0000663]     0.8436,     0.9174,     0.9376,     2.4822, 
[  4000,  0.0000679]     0.8512,     0.9193,     0.9389,     2.6847, 
[  4100,  0.0000695]     0.8480,     0.9213,     0.9414,     2.5603, 
[  4200,  0.0000711]     0.8584,     0.9314,     0.9501,     2.0945, 
[  4300,  0.0000727]     0.8545,     0.9267,     0.9455,     2.3762, 
[  4400,  0.0000743]     0.8573,     0.9282,     0.9464,     2.4013, 
[  4500,  0.0000759]     0.8460,     0.9218,     0.9415,     2.5783, 
[  4600,  0.0000775]     0.8502,     0.9247,     0.9433,     2.2445, 
[  4700,  0.0000791]     0.8509,     0.9261,     0.9456,     2.5883, 
[  4800,  0.0000807]     0.8608,     0.9327,     0.9512,     2.1998, 
[  4900,  0.0000823]     0.8611,     0.9303,     0.9486,     2.2120, 
[  5000,  0.0000839]     0.8513,     0.9214,     0.9404,     2.4253, 
Validation (clean) EPE: 1.179810, 1px: 0.906932, 3px: 0.959396, 5px: 0.971031
Validation (final) EPE: 2.049619, 1px: 0.866322, 3px: 0.931077, 5px: 0.949449
[  5100,  0.0000855]     0.8568,     0.9291,     0.9484,     2.0339, 
[  5200,  0.0000871]     0.8607,     0.9297,     0.9479,     2.3202, 
[  5300,  0.0000887]     0.8458,     0.9223,     0.9417,     2.5245, 
[  5400,  0.0000903]     0.8452,     0.9225,     0.9431,     2.2479, 
[  5500,  0.0000919]     0.8585,     0.9283,     0.9465,     2.3746, 
[  5600,  0.0000935]     0.8596,     0.9294,     0.9471,     2.5740, 
[  5700,  0.0000951]     0.8498,     0.9201,     0.9390,     2.5735, 
[  5800,  0.0000967]     0.8513,     0.9235,     0.9425,     2.7160, 
[  5900,  0.0000983]     0.8382,     0.9131,     0.9327,     3.2401, 
[  6000,  0.0000999]     0.8565,     0.9294,     0.9485,     2.1920, 
[  6100,  0.0000999]     0.8495,     0.9201,     0.9396,     2.7142, 
[  6200,  0.0000998]     0.8555,     0.9273,     0.9459,     2.3408, 
[  6300,  0.0000997]     0.8543,     0.9264,     0.9452,     2.1126, 
[  6400,  0.0000997]     0.8622,     0.9319,     0.9491,     2.3868, 
[  6500,  0.0000996]     0.8524,     0.9270,     0.9479,     2.0483, 
[  6600,  0.0000995]     0.8643,     0.9346,     0.9522,     2.2686, 
[  6700,  0.0000994]     0.8653,     0.9327,     0.9496,     2.1691, 
[  6800,  0.0000993]     0.8649,     0.9336,     0.9511,     1.8852, 
[  6900,  0.0000992]     0.8520,     0.9256,     0.9446,     2.2458, 
[  7000,  0.0000991]     0.8518,     0.9239,     0.9432,     2.1072, 
[  7100,  0.0000990]     0.8549,     0.9280,     0.9476,     2.0952, 
[  7200,  0.0000990]     0.8564,     0.9286,     0.9471,     2.3819, 
[  7300,  0.0000989]     0.8477,     0.9209,     0.9398,     2.7641, 
[  7400,  0.0000988]     0.8541,     0.9254,     0.9451,     2.1676, 
